Mas90 Customer Number,Acquired ARR from ReadyRosie,Account Name,Acquired ARR from Quorum (QualityAssist)
08A188379,31200.00,Buffett Early Childhood Institute,
04LCHS,20000.00,"STEP, Inc.",
02WESTPER,19600.00,West Perry School District,
04KYRFHHS,17600.00,Kentucky River Foothills Development Council,
07CDSD,16800.00,Coeur D'Alene SD 271,
02A36719,14500.00,Riverview Gardens School Dist,
20AVANCES,13500.00,"Avance- San Antonio, Inc.",
02MANOR,12000.00,Manor ISD,
02FREDPBS,11750.00,Frederick County Public Schools (MD),
04WALCOBO,11200.00,Walker County Schools,
02A41024,10250.00,Granbury ISD,
02BRYANIS,10000.00,Bryan Independent School District,
02A159696,9500.00,Putnam County School District,
02A196276,9000.00,Jubilee Academies,
04CDIMAHO,8500.00,Alta Head Start,
02A40950,8250.00,Alief Independent School District,
07PARTERL,7750.00,Porter Leath,
02A23882,7000.00,East Hartford Public Schools,
02SALTLAK,7000.00,Salt Lake City School District,
04PALWOCE,6900.00,"Police Athletic League, Inc./W.O.C.E. Head Start",
08A195319,6000.00,Blue Ridge Partnership for Children,
07MOCHS,5750.00,MOC Child Care and Head Start,
02A40618,5500.00,Harlandale Independent School District,
07HOPESHS,5400.00,"Hopes Community Action Partnership, Inc.",
04CHICKA,4950.00,Chickasaw Nation Head Start,
02A39873,4675.00,Tyrone Area School District,
04LULAC,4400.00,"Lulac Head Start, Inc.",
07DAVICS,4250.00,Davidson County Schools,
02MONRSD,3750.00,Monroe County Intermediate School District,
02A41382,3300.00,Snyder Ind School District,
02BVPS,3300.00,Bellevue Public Schools,
04FLCHS,3200.00,Floyd County Head Start,
04UWCI,3200.00,United Way of Central Indiana,
02A35200,2700.00,Glasgow Independent Schools,
02A37244,2600.00,Polk Co School District,
02UCPS,2500.00,Union County Public Schools,
18WOODECC,2475.00,Woodford County Preschool Program,
02A37422,2100.00,Berlin School District,
02A41308,2000.00,Millsap Ind School District,
02A73562,1750.00,W F PEAVY PRIMARY SCHOOL,
02BETHLEH,1750.00,Bethlehem Area School District,
02HASTING,1750.00,Hastings Public Schools,
04KARUK,1750.00,Karuk Head Start,
04SCHUYLA,1750.00,"Schuyler Head Start, Inc",
02RICHLND,1600.00,Richland Co School District 1,
08A186454,1000.00,Claremont Preschool,
07A232847,,"Mindi Walton: The Goddard School -- Fishers, IN",76
07A233119,,Holly Christiansen,90
07A233189,,Nuha Ali,90
07A233231,,Dominique Howard,90
,47500.00,Map Early Head Start Center,
,43200.00,Howard County Public Schools,
,9250.00,South Western School District,
,6500.00,Northeastern School District,
,5500.00,Elizabethtown Area School District,
,5500.00,Parkway School District,
,5250.00,Raise Me to Read,
,5000.00,Manheim Central School Dist,
,4125.00,Pleasanton Ind School District,
,4000.00,Pequea Valley School Dist,
,3300.00,Dalton Public School District,
,3000.00,POPE JOHN PAUL II ACAD-LWR MLS,
,3000.00,Driscoll Ind School District,
,2500.00,SOUTH BOSTON EARLY LRNG CTR,
,2100.00,Bixby School District 4,
,2000.00,United Way of Quad Cities Area,
,2000.00,Daniel Boone Area School District,
,2000.00,Stark County Library,
,2000.00,Charles B Wallace Elementary School,
,2000.00,Midlothian Ind School District,
,2000.00,Sunnyvale School District,
,2000.00,Paris Ind School District,
,0.00,Guymon School District,
,0.00,Kreutz Creek Elementary School,
,0.00,Harney Co School District 3,
