Change Category,TS Change Category
"Existing Customer, New Product",Upgrade ARR
"Continuing Customer, Lost Product",Downgrade ARR
New to subscription,New to Subscription ARR
Lost Customer,Churn
New to company,New to Company ARR
Product Reactivation,Product Reactivation
Customer Segment Migration,Customer Segment Migration
Downsell,Contraction ARR
Customer Reactivation,Customer Reactivation
Acquisition,Acquired ARR
Upsell,Expansion
Beginning/Ending Revenue Credits,Beginning/Ending Revenue Credits
Status Quo,Status Quo
