CLUB,BEGINNER,AVERAGE,GOOD,EXCELLENT,PGA TOUR
Driver,190 yards,220 yards,250 yards,280 yards,296 yards
3-wood,170 yards,210 yards,225 yards,235 yards,262 yards
5-wood,150 yards,195 yards,205 yards,220 yards,248 yards
Hybrid,145 yards,180 yards,190 yards,210 yards,242 yards
2-iron,145 yards,180 yards,190 yards,215 yards,236 yards
3-iron,135 yards,170 yards,180 yards,205 yards,228 yards
4-iron,125 yards,160 yards,170 yards,195 yards,219 yards
5-iron,120 yards,155 yards,165 yards,185 yards,209 yards
6-iron,115 yards,145 yards,160 yards,175 yards,197 yards
7-iron,105 yards,140 yards,150 yards,165 yards,185 yards
8-iron,95 yards,130 yards,140 yards,155 yards,172 yards
9-iron,80 yards,115 yards,125 yards,145 yards,159 yards
Pitching Wedge,70 yards,100 yards,110 yards,135 yards,146 yards
Gap Wedge,60 yards,90 yards,100 yards,125 yards,135 yards
Sand Wedge,55 yards,80 yards,95 yards,115 yards,124 yards
Lob Wedge,40 yards,60 yards,80 yards,105 yards,113 yards
