WORD,LENGTH
tattletale,10
laterally,9
retreater,9
axletree,8
latterly,8
letterer,8
lyrately,8
reletter,8
retrally,8
tartrate,8
teletext,8
telltale,8
terrella,8
alerter,7
alertly,7
allayer,7
alterer,7
alteryx,7
areally,7
arrayer,7
exalter,7
lateral,7
layette,7
rattler,7
realter,7
relater,7
relaxer,7
retreat,7
tartlet,7
tattler,7
treater,7
aerate,6
allele,6
arrear,6
artery,6
eatery,6
elater,6
elytra,6
errata,6
eyelet,6
lately,6
latter,6
leally,6
lealty,6
letter,6
lyrate,6
lyttae,6
rallye,6
rarely,6
ratter,6
rattle,6
realer,6
really,6
realty,6
rearer,6
reeler,6
relate,6
retear,6
retell,6
retral,6
taller,6
tarter,6
tatter,6
tattle,6
tearer,6
teeter,6
teller,6
terete,6
terrae,6
terret,6
tetryl,6
tetter,6
treaty,6
yarely,6
yatter,6
yearly,6
yeller,6
alate,5
alert,5
allee,5
alley,5
alter,5
areae,5
areal,5
arete,5
artel,5
early,5
eater,5
elate,5
exalt,5
exert,5
extra,5
laree,5
later,5
latex,5
latte,5
laxer,5
layer,5
leary,5
leery,5
rarer,5
ratel,5
rater,5
reata,5
relax,5
relay,5
relet,5
retax,5
retry,5
taler,5
tarre,5
tater,5
taxer,5
teary,5
telae,5
telex,5
telly,5
terra,5
terry,5
tetra,5
treat,5
yarer,5
aery,4
alae,4
alee,4
area,4
axel,4
axle,4
earl,4
eely,4
eery,4
eyer,4
eyra,4
eyre,4
eyry,4
late,4
leal,4
lear,4
leer,4
leet,4
lyre,4
rale,4
rare,4
rate,4
real,4
rear,4
reel,4
rely,4
rete,4
tael,4
tale,4
tare,4
tate,4
teal,4
tear,4
teat,4
teel,4
tela,4
tele,4
tell,4
text,4
tree,4
tret,4
trey,4
tyee,4
tyer,4
tyre,4
yare,4
year,4
yell,4
yett,4
