FIELD_1,FIELD_3,FIELD_4,FIELD_5,FIELD_6,FIELD_8
"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on Jan-23-2018)",,,,,
Influenza Division - Centers for Disease Control and Prevention.,,,,,
CATCHMENT,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,WEEKLY RATE
California,2003-04,2003,40,0-4 yr,0
California,2003-04,2003,41,0-4 yr,0
California,2003-04,2003,42,0-4 yr,0
California,2003-04,2003,43,0-4 yr,0
California,2003-04,2003,44,0-4 yr,0
California,2003-04,2003,45,0-4 yr,0
California,2003-04,2003,46,0-4 yr,0
California,2003-04,2003,47,0-4 yr,0
California,2003-04,2003,48,0-4 yr,0
California,2003-04,2003,49,0-4 yr,5.7
California,2003-04,2003,50,0-4 yr,19
California,2003-04,2003,51,0-4 yr,9.5
California,2003-04,2003,52,0-4 yr,5.7
California,2003-04,2003,53,0-4 yr,3.8
California,2003-04,2004,1,0-4 yr,0
California,2003-04,2004,2,0-4 yr,0
California,2003-04,2004,3,0-4 yr,0
California,2003-04,2004,4,0-4 yr,0
California,2003-04,2004,5,0-4 yr,0
California,2003-04,2004,6,0-4 yr,0
California,2003-04,2004,7,0-4 yr,0
California,2003-04,2004,8,0-4 yr,0
California,2003-04,2004,9,0-4 yr,0
California,2003-04,2004,10,0-4 yr,0
California,2003-04,2004,11,0-4 yr,0
California,2003-04,2004,12,0-4 yr,0
California,2003-04,2004,13,0-4 yr,0
California,2003-04,2004,14,0-4 yr,0
California,2003-04,2004,15,0-4 yr,0
California,2003-04,2004,16,0-4 yr,0
California,2003-04,2004,17,0-4 yr,0
California,2003-04,2003,40,5-17 yr,0
California,2003-04,2003,41,5-17 yr,0
California,2003-04,2003,42,5-17 yr,0
California,2003-04,2003,43,5-17 yr,0
California,2003-04,2003,44,5-17 yr,0.6
California,2003-04,2003,45,5-17 yr,0
California,2003-04,2003,46,5-17 yr,0
California,2003-04,2003,47,5-17 yr,0
California,2003-04,2003,48,5-17 yr,0.6
California,2003-04,2003,49,5-17 yr,0
California,2003-04,2003,50,5-17 yr,0
California,2003-04,2003,51,5-17 yr,0
California,2003-04,2003,52,5-17 yr,0.6
California,2003-04,2003,53,5-17 yr,0
California,2003-04,2004,1,5-17 yr,0
California,2003-04,2004,2,5-17 yr,0
California,2003-04,2004,3,5-17 yr,0
California,2003-04,2004,4,5-17 yr,0
California,2003-04,2004,5,5-17 yr,0
California,2003-04,2004,6,5-17 yr,0
California,2003-04,2004,7,5-17 yr,0
California,2003-04,2004,8,5-17 yr,0
California,2003-04,2004,9,5-17 yr,0
California,2003-04,2004,10,5-17 yr,0
California,2003-04,2004,11,5-17 yr,0
California,2003-04,2004,12,5-17 yr,0
California,2003-04,2004,13,5-17 yr,0
California,2003-04,2004,14,5-17 yr,0
California,2003-04,2004,15,5-17 yr,0
California,2003-04,2004,16,5-17 yr,0
California,2003-04,2004,17,5-17 yr,0
California,2003-04,2003,40,Overall,0
California,2003-04,2003,41,Overall,0
California,2003-04,2003,42,Overall,0
California,2003-04,2003,43,Overall,0
California,2003-04,2003,44,Overall,0.5
California,2003-04,2003,45,Overall,0
California,2003-04,2003,46,Overall,0
California,2003-04,2003,47,Overall,0
California,2003-04,2003,48,Overall,0.5
California,2003-04,2003,49,Overall,1.4
California,2003-04,2003,50,Overall,4.6
California,2003-04,2003,51,Overall,2.3
California,2003-04,2003,52,Overall,1.8
California,2003-04,2003,53,Overall,0.9
California,2003-04,2004,1,Overall,0
California,2003-04,2004,2,Overall,0
California,2003-04,2004,3,Overall,0
California,2003-04,2004,4,Overall,0
California,2003-04,2004,5,Overall,0
California,2003-04,2004,6,Overall,0
California,2003-04,2004,7,Overall,0
California,2003-04,2004,8,Overall,0
California,2003-04,2004,9,Overall,0
California,2003-04,2004,10,Overall,0
California,2003-04,2004,11,Overall,0
California,2003-04,2004,12,Overall,0
California,2003-04,2004,13,Overall,0
California,2003-04,2004,14,Overall,0
California,2003-04,2004,15,Overall,0
California,2003-04,2004,16,Overall,0
California,2003-04,2004,17,Overall,0
California,2004-05,2004,40,0-4 yr,0
California,2004-05,2004,41,0-4 yr,0
California,2004-05,2004,42,0-4 yr,0
California,2004-05,2004,43,0-4 yr,0
California,2004-05,2004,44,0-4 yr,0
California,2004-05,2004,45,0-4 yr,0
California,2004-05,2004,46,0-4 yr,0
California,2004-05,2004,47,0-4 yr,0
California,2004-05,2004,48,0-4 yr,0
California,2004-05,2004,49,0-4 yr,0
California,2004-05,2004,50,0-4 yr,0
California,2004-05,2004,51,0-4 yr,0
California,2004-05,2004,52,0-4 yr,0
California,2004-05,2005,1,0-4 yr,1.9
California,2004-05,2005,2,0-4 yr,1.9
California,2004-05,2005,3,0-4 yr,0
California,2004-05,2005,4,0-4 yr,0
California,2004-05,2005,5,0-4 yr,0
California,2004-05,2005,6,0-4 yr,0
California,2004-05,2005,7,0-4 yr,0
California,2004-05,2005,8,0-4 yr,0
California,2004-05,2005,9,0-4 yr,0
California,2004-05,2005,10,0-4 yr,0
California,2004-05,2005,11,0-4 yr,0
California,2004-05,2005,12,0-4 yr,0
California,2004-05,2005,13,0-4 yr,1.9
California,2004-05,2005,14,0-4 yr,0
California,2004-05,2005,15,0-4 yr,0
California,2004-05,2005,16,0-4 yr,0
California,2004-05,2005,17,0-4 yr,0
California,2004-05,2004,40,5-17 yr,0
California,2004-05,2004,41,5-17 yr,0
California,2004-05,2004,42,5-17 yr,0
California,2004-05,2004,43,5-17 yr,0
California,2004-05,2004,44,5-17 yr,0
California,2004-05,2004,45,5-17 yr,0
California,2004-05,2004,46,5-17 yr,0
California,2004-05,2004,47,5-17 yr,0
California,2004-05,2004,48,5-17 yr,0
California,2004-05,2004,49,5-17 yr,0
California,2004-05,2004,50,5-17 yr,0
California,2004-05,2004,51,5-17 yr,0
California,2004-05,2004,52,5-17 yr,0
California,2004-05,2005,1,5-17 yr,0
California,2004-05,2005,2,5-17 yr,0.6
California,2004-05,2005,3,5-17 yr,0
California,2004-05,2005,4,5-17 yr,0
California,2004-05,2005,5,5-17 yr,0
California,2004-05,2005,6,5-17 yr,0
California,2004-05,2005,7,5-17 yr,0
California,2004-05,2005,8,5-17 yr,0
California,2004-05,2005,9,5-17 yr,0
California,2004-05,2005,10,5-17 yr,0
California,2004-05,2005,11,5-17 yr,0
California,2004-05,2005,12,5-17 yr,0
California,2004-05,2005,13,5-17 yr,0
California,2004-05,2005,14,5-17 yr,0
California,2004-05,2005,15,5-17 yr,0
California,2004-05,2005,16,5-17 yr,0
California,2004-05,2005,17,5-17 yr,0
California,2004-05,2004,40,Overall,0
California,2004-05,2004,41,Overall,0
California,2004-05,2004,42,Overall,0
California,2004-05,2004,43,Overall,0
California,2004-05,2004,44,Overall,0
California,2004-05,2004,45,Overall,0
California,2004-05,2004,46,Overall,0
California,2004-05,2004,47,Overall,0
California,2004-05,2004,48,Overall,0
California,2004-05,2004,49,Overall,0
California,2004-05,2004,50,Overall,0
California,2004-05,2004,51,Overall,0
California,2004-05,2004,52,Overall,0
California,2004-05,2005,1,Overall,0.5
California,2004-05,2005,2,Overall,0.9
California,2004-05,2005,3,Overall,0
California,2004-05,2005,4,Overall,0
California,2004-05,2005,5,Overall,0
California,2004-05,2005,6,Overall,0
California,2004-05,2005,7,Overall,0
California,2004-05,2005,8,Overall,0
California,2004-05,2005,9,Overall,0
California,2004-05,2005,10,Overall,0
California,2004-05,2005,11,Overall,0
California,2004-05,2005,12,Overall,0
California,2004-05,2005,13,Overall,0.5
California,2004-05,2005,14,Overall,0
California,2004-05,2005,15,Overall,0
California,2004-05,2005,16,Overall,0
California,2004-05,2005,17,Overall,0
California,2005-06,2005,40,0-4 yr,0.9
California,2005-06,2005,41,0-4 yr,1.7
California,2005-06,2005,42,0-4 yr,0
California,2005-06,2005,43,0-4 yr,0
California,2005-06,2005,44,0-4 yr,0
California,2005-06,2005,45,0-4 yr,0
California,2005-06,2005,46,0-4 yr,0
California,2005-06,2005,47,0-4 yr,1.7
California,2005-06,2005,48,0-4 yr,0.9
California,2005-06,2005,49,0-4 yr,1.7
