PERIOD,CONTROL ID,MISSING PREPARER SIGN OFF,MISSING PREPARER SIGN OFF DATE,MISSING REVIEWER SIGN OFF,MISSING REVIEWER SIGN OFF DATE,NON-MANAGER REVIEWER SIGNED OFF ON A KEY CONTROL,PREPARER CAN'T BE REVIEWER,REVIEWER SIGNED OFF AFTER 5 DAYS,REVIEWER SIGNED OFF BEFORE THE PREPARER,TOTAL ISSUES
March 2025,1111,0,0,0,1,0,0,0,0,1
March 2025,2222,0,0,0,0,1,0,0,0,1
March 2025,3333,0,0,0,0,0,0,1,0,1
March 2025,4444,0,0,1,0,0,0,1,0,2
March 2025,5555,0,0,0,0,1,0,0,1,2
March 2025,6666,0,0,0,1,0,0,0,0,1
March 2025,7777,0,0,0,0,0,1,0,0,1
March 2025,8888,0,1,0,1,0,0,0,0,2
March 2025,9999,0,0,0,1,0,0,0,0,1
April 2025,1111,0,0,0,1,0,0,0,0,1
April 2025,2222,0,0,0,0,0,0,0,0,0
April 2025,3333,0,0,0,0,0,0,0,0,0
April 2025,4444,0,0,0,0,0,0,0,1,1
April 2025,5555,0,0,0,0,0,1,0,1,2
April 2025,6666,0,1,0,0,0,0,0,0,1
April 2025,7777,0,0,0,0,0,0,0,0,0
April 2025,8888,0,0,0,1,0,0,0,0,1
April 2025,9999,0,0,0,1,0,0,0,0,1
